,word,total_value
90,때,1.2037195
91,완전,1.13591
92,불편,1.5302305
93,해요,1.3689677
94,ㅠㅠ,1.2663357
95,코팅,1.1167206
96,묻어나,1.4579974
97,보,1.3985896
98,기,1.3861022
99,엔,1.3024004
100,예쁘,1.472731
101,실용,1.463903
102,적,1.1826155
103,보였,1.5061578
104,보다,1.3775078
105,진짜,1.1424608
106,별로,1.369742
107,주문,1.42694
108,11,1.266366
109,월,1.7248836
110,6,1.0852076
111,시켰,1.2014133
112,16,1.2632983
113,일,1.4077767
114,왔,1.4353958
115,ㅎㅎㅎ,1.2423992
116,여기,1.4490855
117,회사,1.070707
118,측,0.91947526
119,아무런,1.2301079
120,연락,1.6949779
121,수,1.4082665
122,없,1.3223712
123,으니,1.2177408
124,답답,1.3365626
125,신,1.2713034
126,분,1.279793
127,다른,1.3980685
128,곳,1.3377575
129,에서,0.99646497
130,시,1.2963758
131,추천,1.3202512
132,드립니다,1.6414849
133,넉넉,1.5565097
134,길이,1.4702067
135,맞,1.3183527
136,예,1.0040514
137,요,1.0919709
138,폴,0.63497025
139,계속,1.2835826
140,처럼,0.9568488
141,나오,1.0886856
142,다가,1.0547849
143,지금,1.1941372
144,나,1.121491
145,110,0.9915038
146,인데,1.0986173
147,전문,0.70461386
148,속옷,1.5236387
149,브랜드,1.0516326
150,위생,1.5606235
151,팬티,1.289514
152,105,1.3519993
153,작,1.4225625
154,밴,1.0573101
155,딩,0.852208
156,부분,1.3129712
157,신축성,1.6994042
158,반실,0.1261209
159,빅,0.9213067
160,사이즈,1.556884
161,않,1.3195639
162,입,1.4302404
163,벗,1.3574127
164,늘어나,1.6502831
165,잡,1.1467988
166,아,1.1546367
167,어야,1.3213226
168,죠,1.1530892
169,딱,1.4047107
170,귀엽,1.2313918
171,넘,1.2613466
172,베이지,1.307083
173,색,1.2649733
174,약간,1.145501
175,살색,0.66024643
176,가까워,0.7255755
177,화면,1.3196027
178,빨,1.3701974
179,인가,1.0646138
180,봐요,1.3615751
181,노란,0.8747685
182,컬러,1.210974
183,돋보여,-0.33475235
184,저렴,1.6507629
185,맛,1.2668399
186,그냥,1.3184156
187,씁니다,1.6455235
188,별루,1.308983
189,ㅏㅛ,-0.3002693
190,ㅇ치,-0.4990187
191,ㅗ티,-0.44553274
192,ㅓ치,-0.48662856
193,ㅗ탛,-0.52264124
194,캏타,-0.49579042
195,ㅛ티,-0.4712714
196,ㅗㅗ,-0.24739316
197,ㅗ치,-0.5164457
198,ㅕ치ㅕ쳐ㅣ처ㅣ치ㅓ처ㅣ펴ㅣ쳐ㅣ치ㅕㅐㅛㅌ쵸ㅔ려ㅔㅎ,-0.6081595
199,촉감,1.5104582
200,무게,1.3028886
201,감,1.3829907
202,이나,1.1157458
203,핏,1.4922149
204,편합니다,1.618199
205,불,1.0487366
206,멍,0.73997426
207,너무,1.2610706
208,재,1.3156159
209,친구,1.2634751
210,향,1.231966
211,난다고,1.2347558
212,실내,0.8830271
213,건지,1.3267212
214,몰랐,1.3240509
215,은데,1.3646537
216,하나,1.2914886
217,이상,1.289666
218,가게,0.94987565
219,운영,0.6490289
220,사장,1.2809787
221,님,1.2720083
222,께서,1.1895944
223,대신,0.95210063
224,해,1.3557056
225,달,1.3285035
226,라고,1.1387504
227,셔서,1.5990443
228,놓,1.1388173
229,으니까,1.3153917
230,이쁘,1.5066512
231,괜찮,1.4662852
232,바퀴,1.1711935
233,고정,1.4020913
234,된다면,1.2373881
235,별,1.3686227
236,다섯,1.4438539
237,짜린데,0.5867547
238,화장,1.2782484
239,깨끗,1.3229449
240,지워,1.3802185
241,거품,1.4090937
242,생기,1.2658337
243,오랫동안,1.1637127
244,문질러서,0.073377766
245,씻,1.4035401
246,내,1.0208005
247,야,1.0253866
248,하지만,1.3783165
249,세정력,1.452267
250,남자,1.2025852
251,애,0.9504208
252,유해,1.0457858
253,성분,1.2173209
254,초등,1.0685089
255,바르,1.2715749
256,채집통,0.12855037
257,결착,0.38947332
258,됩니다,1.1637572
259,서,1.2108611
260,커터칼,0.46971902
261,모서리,1.3049338
262,깍,0.88845444
263,냈,1.0971648
264,겨우,1.0584127
265,해당,0.72643995
266,제품,1.4377618
267,불량,1.4216955
268,이슈,0.40178242
269,구요,1.3301477
270,보내,1.5792116
271,전,1.2916749
272,최소한,0.9248804
273,테스트,1.2290934
274,세요,1.5066605
275,늘,1.4093193
276,흙,1.1952506
277,에요,1.3102448
278,팽이,0.18695597
279,젤,1.0274714
280,빠른,1.6182532
281,감사,1.6324294
282,처음,1.2395645
283,쓸,1.5385052
284,쓰,1.3991077
285,니,1.1619579
286,의자,1.2599441
287,뺄,1.3234375
288,소리,1.0135887
289,그래서,1.2326597
290,붙이,1.3358653
291,부직포,1.5175593
292,덧붙였,-0.42647257
293,여전히,1.2907087
294,끌리,0.6421716
295,테니스공,0.38401857
296,살,1.2353588
297,껄,1.3993986
298,이쁜,1.2320362
299,산다고,0.8840437
300,이거,1.1120133
301,후회,1.5709788
302,기사,1.557477
303,판매,1.3590473
304,불친절,1.3859366
305,불쾌,1.5480856
306,서비스,1.167137
307,면,1.2287582
308,에선,0.9229396
309,최악,1.2545116
310,그럭저럭,1.3203906
311,싼,1.4770409
312,비지떡,1.3959761
313,마인드,1.0271871
314,부터,1.2092026
315,갖추,0.37680492
316,장사,1.1585233
317,길,1.2678244
318,바랍니다,1.845205
319,이익,0.21539304
320,눈,0.940401
321,해서,1.2795162
322,완성,1.2006528
323,떨어짐,1.1527596
324,빠지,1.4246589
325,ㅜ,1.3131816
326,양,1.3273468
327,많,1.2466416
328,설치,1.4328597
329,할,1.4752023
330,전압,0.2210226
331,높,1.2066158
332,퓨즈,0.23598905
333,나갔,1.3139371
334,어여,1.3252451
335,첨,1.1539607
336,았,1.5151843
337,땐,1.2228065
338,튼튼,1.6169696
339,구,1.1233492
340,칸막이,0.95151067
341,맘,1.4195491
342,는데요,1.2312981
343,근데,1.2289526
344,먼지,1.3545158
345,세상,1.11375
346,묻,1.5409027
347,ㅠㅠ흑흑ㅠ,-0.37820178
348,가만히,0.6093441
349,뒀,1.3766997
350,ㅠ,1.2982501
351,번,1.4259562
352,모셔,0.9741254
353,두,1.368522
354,ㅜㅜ,1.2630657
355,까만색,0.7129219
356,아이보리,1.1915033
357,휴대폰,1.1048324
358,각,0.7729085
359,나옴,0.8877508
360,노트,1.0899152
361,9,1.0367334
362,얇,1.4281038
363,케이스,1.2772111
364,꺼도,1.1249092
365,건,1.3398303
366,각도,1.0305358
367,조절,1.3306469
368,된다는,1.2650821
369,점,1.3869773
370,고급,1.4433872
371,스럽,1.5557787
372,가볍,1.4861454
373,옵션,1.2917604
374,파우,1.073903
375,치도,0.83377767
376,얼마나,1.0526813
377,을까,1.6549703
378,따로,1.2862457
379,할께요,1.9600915
380,총,1.3092283
381,4,1.2279891
382,샀,1.3676287
383,부드러운,1.2160124
384,물티슈,1.3233501
385,닦,1.3651203
386,프린트,1.0253538
387,번졌,0.38862976
388,교환,1.6828197
389,귀찮,1.7320323
390,모기,1.1096952
391,들어가,1.2449645
392,준,1.1634593
393,사람,1.1076789
394,모두,1.2445865
395,만족,1.5831484
396,했어요,1.6048607
397,심플,1.4762532
398,재질,1.4740291
399,깔,1.0558975
400,끄러,0.5050607
401,워,1.0394558
402,자국,1.2468057
403,베이,0.7210844
404,폭,1.1156522
405,망,0.9748307
406,재대로,1.0076618
407,제,1.2136245
408,잘못,1.3643198
409,참고,1.2502909
410,싱글,1.1871235
411,세트,1.1770989
412,퀸,1.3592025
413,1,1.2729566
414,많이,1.394035
415,떡,0.9695943
416,진,1.517042
417,것,1.4287754
418,보일까봐,0.042958718
419,걱정,1.2402244
420,못,1.3094409
421,겠,1.4946946
422,맛있,1.4530175
423,어서,1.3602066
424,카페,0.9101658
425,갈,1.0120367
426,필요,1.3054752
427,음,1.0797971
428,늦,1.5467755
429,엄,0.48891065
430,절,0.93535244
431,참,1.1930621
432,앗,1.260437
433,서랍,1.434543
434,금방,1.3254814
435,냐고,1.1969796
436,물,1.1224587
437,봣는데,1.2136881
438,10,1.3032635
439,톡,1.1951276
440,냇,1.1208295
441,오후,1.435868
442,답,0.98743916
443,뭐,1.179726
444,려고,1.2577543
445,상담,1.4900645
446,시간,1.2341018
447,아니,1.1428611
448,뜨,1.0742875
449,된다고,1.2846699
450,답장,1.665096
451,부탁,1.3833957
452,포근,1.3813959
453,이불,1.3517556
454,네이비,1.2709856
455,진한,1.2056814
456,역시,0.872121
457,기다린,1.614262
458,보람,1.6362808
459,군요,1.1253095
460,퀄리티,1.4354453
461,떨어지,1.2730955
462,손,1.150847
463,노,0.5071984
464,삐뚤,1.2026757
465,반품,1.603659
466,피부,1.4202088
467,트러블,1.6328292
468,올라와서,0.9371012
469,몸,1.1147035
470,뾰루지,1.2048975
471,겁나,0.9002938
472,아픈데,0.5040417
473,익숙,1.30363
474,된다,1.2739031
475,길래,1.2661445
476,몇,1.4106873
477,발,1.1036235
478,멍들,0.624156
479,고통,0.6760556
480,심하,1.2452265
481,컨디션,0.42971823
482,져서,1.1023278
483,결국,1.0496621
484,패기,0.101866804
485,처분,0.88946086
486,마다,1.1598397
487,다르,1.3777797
488,사기전,0.82932544
489,신중히,1.2792906
490,결정,1.4626148
491,평발,0.22337624
492,아닙니다,0.93268967
493,아직,1.5098988
494,이유식,1.4012058
495,초기,1.0167966
496,라,1.0666568
497,후기,1.4878447
498,믿,1.1456076
499,다양,1.4423981
500,실리콘,1.1178013
501,오,1.0251946
502,자마자,1.286679
503,쪄,1.3703748
504,먹,1.4090102
505,엇,1.1066188
506,뎅,0.86072415
507,달디달,-0.53826827
508,뻣뻣,1.3035108
509,질,1.2102629
510,아서요,1.1979702
511,나중,1.4830828
512,식물,0.52873933
513,넣,1.162849
514,겠어요,1.3552449
515,물건,1.5440339
516,흠,1.1003524
517,약해요,1.2062081
518,세제,1.3265107
519,찌꺼기,1.1259953
520,다고,1.3781263
521,3,1.286711
522,씻겨,1.0475659
523,지멘스,-0.34260842
524,랑,1.0279521
525,던,1.4782805
526,고체,0.4962742
527,형,0.88054955
528,갈아탔,0.8710788
529,흡,0.7779079
530,착력,0.66707015
531,식판,0.8326247
532,붙,1.3002229
533,애기,1.2130948
534,자꾸,1.1512514
535,떼,1.2695476
536,짱구,0.25791037
537,오빠,0.45967332
538,소개,1.4363909
539,이용,1.4200311
540,저번,1.4241375
541,또,1.5606945
542,기름,1.1779609
543,엄청,1.2211403
544,질겨서,1.1583549
545,뱉,1.1068264
546,고객,1.3589337
547,명,1.2047633
548,잃,1.0297239
549,으셨,1.0539371
550,이제,1.1209553
551,려고요,1.5754856
552,연휴,1.2428075
553,켯더니,0.40967697
554,왓,1.3356006
555,으나,1.2888331
556,망가져서,1.1929103
557,삿,1.0786455
558,핸들,0.8625983
559,돌릴,0.746476
560,친절,1.7104248
561,설명,1.3205475
562,짱짱,1.2349986
563,돌,0.7415955
564,뼈,0.94517964
565,패드,1.2155674
566,빠져서,1.1916854
567,중,1.2530854
568,안주,1.0852661
569,디피,0.5621655
570,쁩니다,1.3124142
571,큰,1.4181786
572,언제,1.1080647
573,끝,1.064315
574,낼지,-0.4277409
575,모르,1.4574993
576,선명,1.2362914
577,포인트,0.9215529
578,보온,1.3140585
579,기능,1.1366318
580,짱,1.0142641
581,강추,1.2169704
582,지나,1.4314072
583,접착력,1.3564999
584,그대로,1.437297
585,지퍼,1.4171909
586,고장,1.3704411
587,남,1.2066358
588,나가,1.2035642
589,연마제,0.91149735
590,느라,1.2048908
591,애먹,1.5581031
592,신중,1.4026905
593,선택,1.1745678
594,대비,1.6590823
595,허접,1.4270918
596,쌓,1.2041589
597,앞,1.1447967
598,기울,1.4911892
599,구성,1.431764
600,5,1.2113208
601,구입,1.3364164
602,만큼,1.4356085
603,흰색,1.4002227
604,깔끔,1.5531454
605,아기,1.2991153
606,건데,1.4194002
607,부드럽,1.3772646
608,항상,1.3829799
609,애용,1.6035005
610,ㅋㅋㅋ,1.0002017
611,리뷰,1.5216135
612,남기,1.4749426
613,ㅋㅋ,1.035885
614,이것,1.2643932
615,빨라요,1.437563
616,밑위,1.733376
617,편할,1.692026
618,텐데,1.3888261
619,오히려,1.1043516
620,건조,1.4041086
621,크림,1.0724328
622,까지,1.1128871
623,발라,1.2427279
624,보습,1.6764702
625,페넬로페,0.49952856
626,세,1.2570354
627,자린,0.14119217
628,새로,1.2751931
629,나온,1.2490232
630,라서,1.11297
631,마지막,1.0727148
632,팩,1.3502604
633,데,1.1404583
634,도착,1.5152925
635,실망,1.4942052
636,마무리,1.2815075
637,처리,1.5531669
638,크,1.363576
639,통,1.2037376
640,짼,-0.078340024
641,대,0.99867505
642,센치,1.2218257
643,토퍼,1.2489582
644,써도,1.2510993
645,환불,1.5611026
646,두께,1.3875464
647,적당,1.5502234
648,햇,1.1406008
649,다음,1.5942123
650,갈색,1.1368048
651,겟,1.2859674
652,마음,1.4431789
653,드,1.1737086
654,사진,1.4001833
655,증,0.45087025
656,정품,1.3101873
657,셨,1.6232811
658,변경,1.2832232
659,미리,1.2299631
660,고지,1.1050978
661,ㅋ,0.94141275
662,죵,0.63308704
663,싸,1.3982793
664,비스,0.7444992
665,최,0.6785093
666,공,0.77874315
667,바람,1.2006624
668,는지,1.2225049
669,크기,1.3616265
670,심이,1.1247355
671,쪄서,1.1194009
672,갈린,0.40267202
673,걸리,1.470354
674,더라구요,1.3424374
675,보냈,1.2864274
676,필수,0.7919301
677,꼭,1.1944389
678,같이,1.113499
679,꺼끌,0.29678696
680,시원,1.4390643
681,한지,1.477311
682,여유,1.5429025
683,게요,2.246986
684,밝,1.2718107
685,이뻐요,1.3346449
686,다는,1.4204333
687,지인,1.4378928
688,꾸준히,1.6243927
689,써,1.5268804
690,볼께요,1.8748968
691,자주,1.306672
692,한데,1.4080491
693,쉽,1.4283607
694,화질,1.2079105
695,목욕,1.343719
696,시키,1.3071704
697,전바,0.16315813
698,그리고,1.1066924
699,세면대,0.8341529
700,시트,0.95418274
701,다리,1.2401426
702,불안,1.2358887
703,해용,1.5769415
704,똑같,1.3814212
705,지탱,1.0339719
706,햎자꾸,-0.43464163
707,내려가,1.2555504
708,네오,0.79917824
709,생,0.45625085
710,각외,0.64888155
711,잡혀요,0.99192625
712,고구마,1.3236647
713,외이,-0.5134324
714,케,0.74946475
715,랏,1.2061626
716,저,1.1461138
717,려다,1.4430828
718,바빠,0.2810078
719,깜,0.5693207
720,팍,0.4288065
721,서너,0.9620714
722,잇,1.1503276
723,이런,1.4105071
724,적업,-0.40831804
725,정도,1.3515292
726,아닌가요,1.2517922
727,바코드,0.4690991
728,왜,1.1221416
729,손상,1.135285
730,알려,1.2127047
731,년,1.2092345
732,대용량,1.3173628
733,박스,1.4057268
734,체크,1.4902114
735,사세요,1.3230883
736,큽니다,1.2883943
737,아용,1.3685249
738,품주,0.045987435
739,특히,1.0403264
740,날짜,1.2787101
741,칼,0.87747794
742,이사,1.2758617
743,간,0.8214443
744,날,1.1919817
745,정확,1.215145
746,배달,1.3622999
747,여름,1.3289758
748,그런지,1.1829766
749,지속력,1.3368874
750,가치,1.2257649
751,한입,1.1954712
752,상했,1.1940641
753,이건,1.1206273
754,싶,1.3956103
755,정가,0.7855344
756,할인,1.3181875
757,액,0.581065
758,던데,1.2257482
759,쓸데,0.05892025
760,효과,1.4814656
761,기분,1.3639722
762,가방,1.2997253
763,그거,1.4247725
764,괜찬은거같아요,-0.23889184
765,헤라,0.8803779
766,아이,1.2294247
767,아이스크림,0.88768744
768,만들,1.1265113
769,빼,1.3968683
770,셈플,-0.5093595
771,작업,0.9415451
772,까다로움,-0.49620634
773,체감,0.87656224
774,됨,0.9632351
775,슬림,1.1864209
776,아닌,1.0671009
777,레귤러,-0.21706443
778,승무원,-0.06435717
779,스프레이,1.0646353
780,알,1.3455961
781,흡수력,1.5200043
782,광택,0.9791816
783,연어,1.2422467
784,초밥,0.7800355
785,장,1.1699388
786,내일,1.0410874
787,스테이크,0.8977066
788,까,0.83245075
789,페,0.13206673
790,으려고,1.2818229
791,상판,1.4797379
792,약하,1.2472701
793,일부러,1.1213735
794,누르,1.2625707
795,매번,1.4358797
796,단,1.2407837
797,배성,0.642734
798,머리,1.0039178
799,결,0.9855569
800,트리트,1.1970304
801,먼,0.7832236
802,트,0.6817867
803,치,0.79616785
804,그럼,1.0607063
805,탈색,0.95278203
806,색모,0.4050617
807,파란색,1.0203813
808,전혀,1.2394117
809,입혀,1.2853255
810,짐,1.0259497
811,핀,1.0553622
812,골드,1.0675892
813,러지,1.2274243
814,반응,0.99436164
815,나름,1.2663602
816,훌륭,1.528323
817,느림,1.1405665
818,레깅스,1.2338405
819,밑단,0.94436276
820,함,1.067158
821,수트,0.45280567
822,주황색,0.932074
823,느리,1.3486555
824,상자,1.3411345
825,설명서,1.3976403
826,상관없,1.2542112
827,여자,1.3261696
828,난감,1.4172978
829,이뻐,1.313198
830,약함,0.9841852
831,ㅇㄷㅇㅈㅇㄷㄱㅌㅅ,-0.4307826
832,찢어짐,1.0786494
833,ㄷ,0.76472425
834,ㅇㄷㅇㄷㄱ딛승ㅌㄱㅈ,-0.459644
835,능,0.6687817
836,ㅇㄷㄴ디ㅣㅡㅡ슴ㄷㅅㄷㅅㅈㅅㅈㅅㅈㅅㅈㅅㅈ,-0.61587054
837,기간,1.4428822
838,놀랬,1.5992187
839,도톰,1.5027485
840,ㅡㅡ,1.067545
841,사용법,1.1366181
842,중국어,0.8027812
843,영어,0.75300753
844,밖에,1.4107906
845,심지어,1.0530297
846,사이트,1.3092647
847,올라온,0.5920754
848,이랑,1.0825553
849,며칠,1.4042913
850,짜증,1.3584819
851,버렸,1.4543444
852,어떤,1.1097912
853,목적,0.7577762
854,인지,1.1405635
855,알람,0.44108197
856,큼,1.0663482
857,째,1.6351448
858,편,1.3245624
859,무른,1.3796113
860,꼭꼭,0.49545497
861,숨겨,0.36052474
862,놔서,1.1091675
863,봤,1.4148241
864,들길,-0.60534185
865,시켜서,1.1670096
866,다녔,1.1310314
867,빨간,0.7521211
868,아예,1.3067992
869,로고,0.88387686
870,조차,1.033563
871,뭔지,1.0023096
872,이게,0.97115713
873,뭔가요,1.3052231
874,검수,2.050849
875,보이,1.2550167
876,나요,1.219241
877,바빠서,1.4663602
878,이제서야,1.0192766
879,규격,0.92094904
880,높이,1.4149328
881,다니,1.4114676
882,섞임,0.17216429
883,성,1.0892603
884,포장,1.5912797
885,상태,1.3796111
886,고자,0.8612793
887,맛나,1.166572
888,너무너무,1.2943623
889,착,1.0908756
890,담,1.2867
891,추가,1.2887577
892,합,1.4648986
893,니자,0.5513668
894,겨울,1.2217845
895,촉촉,1.6080482
896,커버,1.3685279
897,돼요,1.2999277
898,느려서,1.4670765
899,행사,1.4150372
900,끝나,0.67276156
901,용량,1.4620962
902,10000,1.0695548
903,짜리,1.2809446
904,의심,1.5512298
905,스러워,1.62671
906,7,0.94561154
907,20,1.2678965
908,퍼,0.42225474
909,충전,1.4560652
910,칸,1.3036481
911,사라져,0.49056262
912,버리,1.3788432
913,무선,1.3823473
914,연결,1.2551383
915,유선,1.0219051
916,충전기,1.4536719
917,무슨,0.8759623
918,그래도,1.3878385
919,지장,1.8844686
920,매우,1.2897472
921,일방,0.5251928
922,스케줄,0.46455103
923,통보,0.86124575
924,배,0.91072667
925,라식,0.19042917
926,비리,1.5220864
927,어렵,1.349933
928,둘,1.1385565
929,폰,0.9919245
930,울,0.87888193
931,느린,1.3843038
932,싱싱,1.55043
933,장말,0.15433536
934,여,0.98753417
935,엄마,1.3332202
936,아빠,1.2979654
937,니까,1.162196
938,파,1.3888451
939,번창,1.8441104
940,한쪽,1.1671072
941,버,0.6824387
942,겨,0.5959547
943,녹,1.3981303
944,슬,0.71171874
945,끈,1.3684007
946,임심,-0.50235903
947,돈,1.3592044
948,아까운,1.419281
949,상황,0.94296855
950,볼트,1.1452192
951,찌그러져서,1.5694194
952,이유,1.2734704
953,흉터,0.83853835
954,하나하나,1.0659269
955,레드,0.97965944
956,장몽,-0.39332092
957,나머지,1.4682438
958,전부,1.0680045
959,아닌데,1.2656763
960,여긴,1.2041905
961,올레드,-0.4009828
962,당도,1.336579
963,을가,-0.36640328
964,접이식,1.1249729
965,수납,1.7140148
966,다만,1.2976708
967,철가방,-0.21887653
968,잠금,1.1468022
969,고리,1.3933976
970,밤,0.9132914
971,키로,1.16236
972,시켜,1.4130279
973,키,0.9708132
974,시킨,1.3963873
975,가요,1.0393412
976,상한,1.5439036
977,대형,1.0944042
978,마트,1.3905885
979,한다고,1.2690051
980,발품,0.45589867
981,팔,1.3163717
982,네이버,1.0421215
983,페이,0.96453315
984,미,0.4314923
985,국물,0.9562806
986,할게요,2.0859778
987,짧,1.3616111
988,걸,1.4010122
989,롱,0.6934918
990,치마,1.2142164
991,원해,0.20072095
992,서요,0.5194572
993,가지,1.3173409
994,일단,1.2885072
995,내용,1.0800225
996,절대,1.2146547
997,겁니다,1.5212368
998,가리비,1.0024912
999,스러웠,1.7127278
1000,백,0.98261875
1001,상합,-0.050396714
1002,괜히,1.3824927
1003,문,1.201439
1004,글,0.95665187
1005,남겼,1.4522902
1006,남겨요,1.103012
1007,닭,1.1320279
1008,특유,0.94501305
1009,비린,1.5110447
1010,침대,1.2800679
1011,싱크,0.48702192
1012,닫혀,1.3746727
1013,신선도,1.561956
1014,무난,1.5022717
1015,미스,1.1569333
1016,예전,1.1411711
1017,무지,1.24316
1018,쌌,0.5826739
1019,ㅎ,0.8892815
1020,벤치,0.6707988
1021,착오,1.2687031
1022,인한,0.569217
1023,오배,0.00016043615
1024,송,0.32270947
1025,신속,1.525642
1026,품질,1.5000781
1027,스런,0.8955147
1028,거래,1.0835867
1029,였,1.2426031
1030,보들보들,1.6141315
1031,44,0.7763845
1032,나왔,1.3111846
1033,어울려요,1.1366731
1034,하루,1.2822372
1035,감사히,1.6319232
1036,목,1.0976934
1037,뿌러진,0.08085913
1038,드렸,1.6730196
1039,아침,1.2014592
1040,식사,1.3356146
1041,비개,0.069182575
1042,너,0.35003105
1043,무,0.7764318
1044,입구,1.2773597
1045,좁,1.3602142
1046,곤,1.5344069
1047,쓸께요,1.6195688
1048,은디,0.25266615
1049,몰르,0.4503123
1050,빵점,0.6807363
1051,개봉,1.5571511
1052,질질,1.060406
1053,느려요,1.4082183
1054,당겨서,0.41325575
1055,앉,1.2683558
1056,넘어지,1.0283573
1057,골랐,1.1671541
1058,그다지,1.2675328
1059,신랑,1.1480778
1060,든다고,1.2713271
1061,뾱뾱이,0.69152766
1062,전하,1.7123258
1063,옴,1.0634625
1064,완료,1.3922684
1065,섞,1.1794277
1066,파워,0.46232736
1067,콤프,0.14434406
1068,인생,0.8689443
1069,안장,0.8934663
1070,게타,-0.49940845
1071,로봇,0.36171246
1072,찾,1.2582576
1073,재밌,1.1390306
1074,색깔,1.222489
1075,달랐,1.0445648
1076,발림,1.5482253
1077,나쁘,1.5839639
1078,그치만,1.3628652
1079,기대,1.477349
1080,소금,1.042007
1081,아쉬워,1.6051748
1082,시기,1.2936798
1083,불량품,1.5938262
1084,했었,1.4466077
1085,이번,1.3308463
1086,테이프,1.3572943
1087,끊,1.2059071
1088,경우,1.2360253
1089,접착,1.4878229
1090,흡착,1.1577553
1091,고무,1.3011007
1092,수량,1.5403574
1093,부족,1.2047633
1094,및,0.9115242
1095,에어,0.98586166
1096,씩,1.4430203
1097,네여,1.2367828
1098,편해,1.509159
1099,매일,1.2008464
1100,소갈,-0.50436705
1101,비탕,-0.17415868
1102,제육,0.23202305
1103,고기,1.198482
1104,갈비탕,0.11689716
1105,덜,1.1410673
1106,밥,1.0102967
1107,비벼,0.9486095
1108,끼,1.0348313
1109,무늬,0.9749193
1110,면서,1.0040715
1111,옷,1.3745451
1112,염,0.93737584
1113,거래처,0.5411877
1114,간식,1.4335644
1115,우산,1.1419666
1116,접,1.3729483
1117,체결,1.1046034
1118,뻑뻑,1.2725881
1119,상,1.0687635
1120,품평,1.685952
1121,샀으나,0.56095487
1122,액체,0.9507618
1123,쏙,1.5716463
1124,병,1.234628
1125,모양,1.1093836
1126,씹,1.0554204
1127,인제,0.43734068
1128,쯤,1.2932568
1129,재미,1.0109609
1130,갈려고,0.19710645
1131,해도,1.1932157
1132,비싸,1.4098891
1133,교체,1.308907
1134,그러나,1.0039687
1135,비슷,1.1826345
1136,젓가락,1.1194586
1137,낫,1.0961931
1138,템,0.8940445
1139,빨대,1.2853067
1140,그러,1.3575015
1141,빠,0.625802
1142,룬,0.43789688
1143,전체,1.2681717
1144,바디,0.9655672
1145,끈적끈적,0.8587306
1146,옷걸이,1.2818661
1147,서로,0.8360585
1148,막,1.120187
1149,달라붙,1.5007992
1150,랄까,0.98872024
1151,여요,1.0323408
1152,예민,1.4793684
1153,때렸,0.23581813
1154,느,0.5175476
1155,립니,1.1048992
1156,오전,1.3221575
1157,이전,1.2092727
1158,해야,1.3408757
1159,당일,1.3474538
1160,발송,1.5923554
1161,욜,1.3281106
1162,8,1.0301522
1163,반,1.0719895
1164,화,0.8555128
1165,송속,0.3212091
1166,관계없,-0.5376197
1167,문제,1.3979001
1168,니까요,1.1020149
1169,특상,1.1027598
1170,중간,1.0523487
1171,종이컵,0.76319665
1172,프레임,1.2142068
1173,고요,1.3284839
1174,디자인,1.5038599
1175,인터넷,1.3463621
1176,비교,1.2762889
1177,성비,1.3535728
1178,저상,0.17555647
1179,더라고요,1.3441395
1180,걸린,1.6692655
1181,그,1.0899159
1182,닥,1.1066346
1183,어용,1.3510629
1184,마리,1.2293257
1185,쪼그마,-0.15468897
1186,몰,0.7481097
1187,닌깐,0.5127582
1188,리본,1.0774442
1189,묶,1.41429
1190,을라고,0.8159537
1191,봣더니,0.5919277
